"Domain","Topic","Data Source","Variable Name","Variable Label"
"1. social context","Demographics","ACS","ACS_PCT_MARRIED_SP_AB_M_census_tractlevel","Percentage of male population now married and spouse absent (ages 15 and over)"
"1. social context","Demographics","ACS","ACS_PCT_MARRIED_SP_PR_F_census_tractlevel","Percentage of female population now married and spouse present (ages 15 and over)"
"1. social context","Demographics","ACS","ACS_PCT_MARRIED_SP_PR_M_census_tractlevel","Percentage of male population now married and spouse present (ages 15 and over)"
"1. social context","Demographics","ACS","ACS_PCT_MULT_RACE_census_tractlevel","Percentage of population reporting multiple races"
"1. social context","Demographics","ACS","ACS_PCT_MULT_RACE_FEMALE_census_tractlevel","Percentage of population reporting two or more races and female"
"1. social context","Demographics","ACS","ACS_PCT_MULT_RACE_MALE_census_tractlevel","Percentage of population reporting two or more races and male"
"1. social context","Demographics","ACS","ACS_PCT_MULT_RACE_NONHISP_census_tractlevel","Percentage of non-Hispanic population reporting multiple races"
"2. economic context","Employment","ACS","ACS_PCT_NATURE_census_tractlevel","Percentage of employed working in agriculture, forestry, fishing and hunting, and mining (ages 16 and over)"
"1. social context","Demographics","ACS","ACS_PCT_NHPI_census_tractlevel","Percentage of population reporting Native Hawaiian and Pacific Islander race alone"
"1. social context","Demographics","ACS","ACS_PCT_NHPI_COMB_census_tractlevel","Percentage of population reporting Native Hawaiian and other Pacific Islander alone or in combination with one or more races"
"1. social context","Demographics","ACS","ACS_PCT_NHPI_NONHISP_census_tractlevel","Percentage of non-Hispanic population reporting Native Hawaiian and Pacific Islander race alone"
"1. social context","Immigration","ACS","ACS_PCT_NONCTN_1990_census_tractlevel","Percentage of population who are not U.S. citizens and entered U.S. before 1990"
"1. social context","Immigration","ACS","ACS_PCT_NONCTN_1999_census_tractlevel","Percentage of population who are not U.S. citizens and entered U.S. between 1990 and 1999"
"1. social context","Immigration","ACS","ACS_PCT_NONCTN_2000_census_tractlevel","Percentage of population who are not U.S. citizens and entered U.S. between 2000 and 2009"
"1. social context","Immigration","ACS","ACS_PCT_NONCTN_2010_census_tractlevel","Percentage of population who are not U.S. citizens and entered U.S. since 2010"
"1. social context","Disability","ACS","ACS_PCT_NONVET_DISABLE_18_64_census_tractlevel","Percentage of nonveterans with a disability (between ages 18 and 64)"
"2. economic context","Poverty","ACS","ACS_PCT_NONVET_POV_18_64_census_tractlevel","Percentage of civilian nonveterans with income below the poverty level in the past 12 months (between ages 18 and 64)"
"1. social context","Immigration","ACS","ACS_PCT_NON_CITIZEN_census_tractlevel","Percentage of population who are not U.S. citizens"
"2. economic context","Employment","ACS","ACS_PCT_NOT_LABOR_census_tractlevel","Percentage of population not in labor force (ages 16 and over)"
"3. education","Attainment","ACS","ACS_PCT_NO_WORK_NO_SCHL_16_19_census_tractlevel","Percentage of teens and adults who are unemployed and not in school (between ages 16 and 19)"
"1. social context","Demographics","ACS","ACS_PCT_NVR_MARRIED_F_census_tractlevel","Percentage of female population never married (ages 15 and over)"
"1. social context","Demographics","ACS","ACS_PCT_NVR_MARRIED_M_census_tractlevel","Percentage of male population never married (ages 15 and over)"
"2. economic context","Employment","ACS","ACS_PCT_OTHER_census_tractlevel","Percentage of employed working in other services, except public administration (ages 16 and over)"
"1. social context","Demographics","ACS","ACS_PCT_OTHER_NONHISP_census_tractlevel","Percentage of non-Hispanic population reporting some other race alone"
"1. social context","Demographics","ACS","ACS_PCT_OTHER_RACE_census_tractlevel","Percentage of population reporting some other race alone"
"1. social context","Demographics","ACS","ACS_PCT_OTH_EURP_census_tractlevel","Percentage of population who speak other Indo-European languages (ages 5 and over)"
"1. social context","Demographics","ACS","ACS_PCT_OTH_LANG_census_tractlevel","Percentage of population who speak other languages (ages 5 and over)"
"4. physical infrastructure","Housing","ACS","ACS_PCT_OWNER_HU_census_tractlevel","Percentage of occupied housing units: owner-occupied"
"4. physical infrastructure","Housing","ACS","ACS_PCT_OWNER_HU_CHILD_census_tractlevel","Percentage of owner-occupied housing units with children"
"4. physical infrastructure","Housing","ACS","ACS_PCT_OWNER_HU_COST_30PCT_census_tractlevel","Percentage of owner-occupied housing units with selected monthly owner costs equal to 30 percent or more of household income"
"4. physical infrastructure","Housing","ACS","ACS_PCT_OWNER_HU_COST_50PCT_census_tractlevel","Percentage of owner-occupied housing units with selected monthly owner costs equal to 50 percent or more of household income"
"2. economic context","Poverty","ACS","ACS_PCT_PERSON_INC_100_124_census_tractlevel","Percentage of population with an income to poverty ratio between 1.00 and 1.24"
"2. economic context","Poverty","ACS","ACS_PCT_PERSON_INC_125_199_census_tractlevel","Percentage of population with an income to poverty ratio between 1.25 and 1.99"
"2. economic context","Poverty","ACS","ACS_PCT_PERSON_INC_ABOVE200_census_tractlevel","Percentage of population with an income to poverty ratio of 2.00 or higher"
"2. economic context","Poverty","ACS","ACS_PCT_PERSON_INC_BELOW99_census_tractlevel","Percentage of population with an income to poverty ratio under 1.00"
"3. education","Attainment","ACS","ACS_PCT_POSTHS_ED_census_tractlevel","Percentage of population with any postsecondary education (ages 25 and over)"
"2. economic context","Poverty","ACS","ACS_PCT_POV_BLACK_census_tractlevel","Percentage of Black or African American population below poverty level"
"2. economic context","Poverty","ACS","ACS_PCT_POV_HISPANIC_census_tractlevel","Percentage of Hispanic or Latino population below poverty level"
"2. economic context","Poverty","ACS","ACS_PCT_POV_MULTI_census_tractlevel","Percentage of two or more races population below poverty level"
"2. economic context","Poverty","ACS","ACS_PCT_POV_WHITE_census_tractlevel","Percentage of White, not Hispanic population below poverty level"
"2. economic context","Employment","ACS","ACS_PCT_PROFESS_census_tractlevel","Percentage of employed working in professional, scientific, management, administrative, and waste management services (ages 16 and over)"
"4. physical infrastructure","Transportation","ACS","ACS_PCT_PUBL_TRANSIT_census_tractlevel","Percentage of workers taking public transportation, excluding taxicab (ages 16 and over)"
"4. physical infrastructure","Transportation","ACS","ACS_PCT_PUB_COMMT_15MIN_census_tractlevel","Percentage of workers who use public transportation with < 15-minute commute time (ages 16 and over)"
"4. physical infrastructure","Transportation","ACS","ACS_PCT_PUB_COMMT_29MIN_census_tractlevel","Percentage of workers who use public transportation with 15- to 29-minute commute time (ages 16 and over)"
"4. physical infrastructure","Transportation","ACS","ACS_PCT_PUB_COMMT_59MIN_census_tractlevel","Percentage of workers who use public transportation with 30- to 59-minute commute time (ages 16 and over)"
"4. physical infrastructure","Transportation","ACS","ACS_PCT_PUB_COMMT_60MINUP_census_tractlevel","Percentage of workers who use public transportation with at least 60-minute commute time (ages 16 and over)"
"2. economic context","Employment","ACS","ACS_PCT_PVT_NONPROFIT_census_tractlevel","Percentage of population who are private not-for-profit wage and salary workers (ages 16 and over)"
"2. economic context","Employment","ACS","ACS_PCT_PVT_PROFIT_census_tractlevel","Percentage of population who are private for-profit wage and salary workers (ages 16 and over)"
"4. physical infrastructure","Housing","ACS","ACS_PCT_RENTER_HU_census_tractlevel","Percentage of occupied housing units: rented"
"4. physical infrastructure","Housing","ACS","ACS_PCT_RENTER_HU_ABOVE65_census_tractlevel","Percentage of renter-occupied housing units occupied by householders aged 65 and above"
"4. physical infrastructure","Housing","ACS","ACS_PCT_RENTER_HU_CHILD_census_tractlevel","Percentage of renter-occupied housing units with children"
"4. physical infrastructure","Housing","ACS","ACS_PCT_RENTER_HU_COST_30PCT_census_tractlevel","Percentage of renter-occupied housing units with rent equal to 30 percent or more of household income"
"4. physical infrastructure","Housing","ACS","ACS_PCT_RENTER_HU_COST_50PCT_census_tractlevel","Percentage of renter-occupied housing units with rent equal to 50 percent or more of household income"
"2. economic context","Employment","ACS","ACS_PCT_RETAIL_census_tractlevel","Percentage of employed working in retail trade (ages 16 and over)"
"1. social context","Demographics","ACS","ACS_PCT_SAME_SEX_UNMRD_PRTNR_census_tractlevel","Percentage of households with same-sex unmarried partner"
