"Variable_Name","Variable_Label","Group0_Rate","Group1_Rate","Rate_Difference","P_Value","Test_Used","Domain","Data_Source","N_Group0","N_Group1","Min_Expected","Significance"
"ACS_PCT_HU_NO_VEH_countylevel","Percentage of housing units with no vehicle available",0,0,0,0,"Chi-square","4. physical infrastructure","ACS",14983,2296,8639.5,"***"
"ACS_PCT_HU_OIL_countylevel","Percentage of occupied housing units with fuel oil heating",0,0,0,0,"Chi-square","4. physical infrastructure","ACS",14983,2296,8639.5,"***"
"ACS_PCT_HU_OTHER_countylevel","Percentage of occupied housing units with other heating fuel",0,0,0,0,"Chi-square","4. physical infrastructure","ACS",14983,2296,8639.5,"***"
"ACS_PCT_HU_SOLAR_countylevel","Percentage of occupied housing units with solar energy",0,0,0,0,"Chi-square","4. physical infrastructure","ACS",14983,2296,8639.5,"***"
"ACS_PCT_HU_UTILITY_GAS_countylevel","Percentage of occupied housing units with utility gas heating",0,0,0,0,"Chi-square","4. physical infrastructure","ACS",14983,2296,8639.5,"***"
"ACS_PCT_HU_WOOD_countylevel","Percentage of occupied housing units with wood heating",0,0,0,0,"Chi-square","4. physical infrastructure","ACS",14983,2296,8639.5,"***"
"ACS_PCT_INC50_countylevel","Percentage of population with income to poverty ratio under 0.50",0,0,0,0,"Chi-square","2. economic context","ACS",14983,2296,8639.5,"***"
"ACS_PCT_INC50_ABOVE65_countylevel","Percentage of population with income to poverty ratio under 0.50 (ages 65 and over)",0,0,0,0,"Chi-square","2. economic context","ACS",14983,2296,8639.5,"***"
"ACS_PCT_INC50_BELOW17_countylevel","Percentage of children with income to poverty ratio under 0.50  (ages 17 and below)",0,0,0,0,"Chi-square","2. economic context","ACS",14983,2296,8639.5,"***"
"ACS_PCT_INFORM_countylevel","Percentage of employed working in information services (ages 16 and over)",0,0,0,0,"Chi-square","2. economic context","ACS",14983,2296,8639.5,"***"
"ACS_PCT_LT_HS_countylevel","Percentage of population with less than high school education (ages 25 and over)",0,0,0,0,"Chi-square","3. education","ACS",14983,2296,8639.5,"***"
"ACS_PCT_MALE_countylevel","Percentage of population that is male",0,0,0,0,"Chi-square","1. social context","ACS",14983,2296,8639.5,"***"
"ACS_PCT_MANUFACT_countylevel","Percentage of employed working in manufacturing (ages 16 and over)",0,0,0,0,"Chi-square","2. economic context","ACS",14983,2296,8639.5,"***"
"ACS_PCT_MARRIED_SP_AB_F_countylevel","Percentage of female population now married and spouse absent (ages 15 and over)",0,0,0,0,"Chi-square","1. social context","ACS",14983,2296,8639.5,"***"
"ACS_PCT_MARRIED_SP_AB_M_countylevel","Percentage of male population now married and spouse absent (ages 15 and over)",0,0,0,0,"Chi-square","1. social context","ACS",14983,2296,8639.5,"***"
"ACS_PCT_MARRIED_SP_PR_F_countylevel","Percentage of female population now married and spouse present (ages 15 and over)",0,0,0,0,"Chi-square","1. social context","ACS",14983,2296,8639.5,"***"
"ACS_PCT_MARRIED_SP_PR_M_countylevel","Percentage of male population now married and spouse present (ages 15 and over)",0,0,0,0,"Chi-square","1. social context","ACS",14983,2296,8639.5,"***"
"ACS_PCT_MULT_RACE_countylevel","Percentage of population reporting multiple races",0,0,0,0,"Chi-square","1. social context","ACS",14983,2296,8639.5,"***"
"ACS_PCT_MULT_RACE_NONHISP_countylevel","Percentage of non-Hispanic population reporting multiple races",0,0,0,0,"Chi-square","1. social context","ACS",14983,2296,8639.5,"***"
"ACS_PCT_NATURE_countylevel","Percentage of employed working in agriculture, forestry, fishing and hunting, and mining (ages 16 and over)",0,0,0,0,"Chi-square","2. economic context","ACS",14983,2296,8639.5,"***"
"ACS_PCT_NHPI_countylevel","Percentage of population reporting Native Hawaiian and Pacific Islander race alone",0,0,0,0,"Chi-square","1. social context","ACS",14983,2296,8639.5,"***"
"ACS_PCT_NHPI_COMB_countylevel","Percentage of population reporting Native Hawaiian and other Pacific Islander alone or in combination with one or more races",0,0,0,0,"Chi-square","1. social context","ACS",14983,2296,8639.5,"***"
"ACS_PCT_NHPI_NONHISP_countylevel","Percentage of non-Hispanic population reporting Native Hawaiian and Pacific Islander race alone",0,0,0,0,"Chi-square","1. social context","ACS",14983,2296,8639.5,"***"
"ACS_PCT_NOT_LABOR_countylevel","Percentage of population not in labor force (ages 16 and over)",0,0,0,0,"Chi-square","2. economic context","ACS",14983,2296,8639.5,"***"
"ACS_PCT_NO_WORK_NO_SCHL_16_19_countylevel","Percentage of teens and adults who are unemployed and not in school (between ages 16 and 19)",0,0,0,0,"Chi-square","3. education","ACS",14983,2296,8639.5,"***"
"ACS_PCT_NVR_MARRIED_F_countylevel","Percentage of female population never married (ages 15 and over)",0,0,0,0,"Chi-square","1. social context","ACS",14983,2296,8639.5,"***"
"ACS_PCT_NVR_MARRIED_M_countylevel","Percentage of male population never married (ages 15 and over)",0,0,0,0,"Chi-square","1. social context","ACS",14983,2296,8639.5,"***"
"ACS_PCT_OTHER_countylevel","Percentage of employed working in other services, except public administration (ages 16 and over)",0,0,0,0,"Chi-square","2. economic context","ACS",14983,2296,8639.5,"***"
"ACS_PCT_OTHER_NONHISP_countylevel","Percentage of non-Hispanic population reporting some other race alone",0,0,0,0,"Chi-square","1. social context","ACS",14983,2296,8639.5,"***"
"ACS_PCT_OTHER_RACE_countylevel","Percentage of population reporting some other race alone",0,0,0,0,"Chi-square","1. social context","ACS",14983,2296,8639.5,"***"
"ACS_PCT_OTH_EURP_countylevel","Percentage of population who speak other Indo-European languages (ages 5 and over)",0,0,0,0,"Chi-square","1. social context","ACS",14983,2296,8639.5,"***"
"ACS_PCT_OTH_LANG_countylevel","Percentage of population who speak other languages (ages 5 and over)",0,0,0,0,"Chi-square","1. social context","ACS",14983,2296,8639.5,"***"
"ACS_PCT_OWNER_HU_countylevel","Percentage of occupied housing units: owner-occupied",0,0,0,0,"Chi-square","4. physical infrastructure","ACS",14983,2296,8639.5,"***"
"ACS_PCT_OWNER_HU_CHILD_countylevel","Percentage of owner-occupied housing units with children",0,0,0,0,"Chi-square","4. physical infrastructure","ACS",14983,2296,8639.5,"***"
"ACS_PCT_OWNER_HU_COST_30PCT_countylevel","Percentage of owner-occupied housing units with selected monthly owner costs equal to 30 percent or more of household income",0,0,0,0,"Chi-square","4. physical infrastructure","ACS",14983,2296,8639.5,"***"
"ACS_PCT_OWNER_HU_COST_50PCT_countylevel","Percentage of owner-occupied housing units with selected monthly owner costs equal to 50 percent or more of household income",0,0,0,0,"Chi-square","4. physical infrastructure","ACS",14983,2296,8639.5,"***"
"ACS_PCT_PERSON_INC_100_124_countylevel","Percentage of population with an income to poverty ratio between 1.00 and 1.24",0,0,0,0,"Chi-square","2. economic context","ACS",14983,2296,8639.5,"***"
"ACS_PCT_PERSON_INC_125_199_countylevel","Percentage of population with an income to poverty ratio between 1.25 and 1.99",0,0,0,0,"Chi-square","2. economic context","ACS",14983,2296,8639.5,"***"
"ACS_PCT_PERSON_INC_ABOVE200_countylevel","Percentage of population with an income to poverty ratio of 2.00 or higher",0,0,0,0,"Chi-square","2. economic context","ACS",14983,2296,8639.5,"***"
"ACS_PCT_PERSON_INC_BELOW99_countylevel","Percentage of population with an income to poverty ratio under 1.00",0,0,0,0,"Chi-square","2. economic context","ACS",14983,2296,8639.5,"***"
"ACS_PCT_POSTHS_ED_countylevel","Percentage of population with any postsecondary education (ages 25 and over)",0,0,0,0,"Chi-square","3. education","ACS",14983,2296,8639.5,"***"
"ACS_PCT_POV_WHITE_countylevel","Percentage of White, not Hispanic population below poverty level",0,0,0,0,"Chi-square","2. economic context","ACS",14983,2296,8639.5,"***"
"ACS_PCT_PROFESS_countylevel","Percentage of employed working in professional, scientific, management, administrative, and waste management services (ages 16 and over)",0,0,0,0,"Chi-square","2. economic context","ACS",14983,2296,8639.5,"***"
"ACS_PCT_PUBL_TRANSIT_countylevel","Percentage of workers taking public transportation, excluding taxicab (ages 16 and over)",0,0,0,0,"Chi-square","4. physical infrastructure","ACS",14983,2296,8639.5,"***"
"ACS_PCT_PVT_NONPROFIT_countylevel","Percentage of population who are private not-for-profit wage and salary workers (ages 16 and over)",0,0,0,0,"Chi-square","2. economic context","ACS",14983,2296,8639.5,"***"
"ACS_PCT_PVT_PROFIT_countylevel","Percentage of population who are private for-profit wage and salary workers (ages 16 and over)",0,0,0,0,"Chi-square","2. economic context","ACS",14983,2296,8639.5,"***"
"ACS_PCT_RENTER_HU_countylevel","Percentage of occupied housing units: rented",0,0,0,0,"Chi-square","4. physical infrastructure","ACS",14983,2296,8639.5,"***"
"ACS_PCT_RENTER_HU_ABOVE65_countylevel","Percentage of renter-occupied housing units occupied by householders aged 65 and above",0,0,0,0,"Chi-square","4. physical infrastructure","ACS",14983,2296,8639.5,"***"
