"Variable","Domain","MissingRate"
"ACS_PCT_VACANT_HU_countylevel","4. physical infrastructure",0.00278055833611389
"ACS_PCT_VET_countylevel","1. social context",0.00278055833611389
"ACS_PCT_VET_BACHELOR_countylevel","3. education",0.00278055833611389
"ACS_PCT_VET_COLLEGE_countylevel","3. education",0.00278055833611389
"ACS_PCT_VET_DISABLE_18_64_countylevel","1. social context",25.1779557335113
"ACS_PCT_VET_HS_countylevel","3. education",0.00278055833611389
"ACS_PCT_VET_LABOR_FORCE_18_64_countylevel","2. economic context",0.00278055833611389
"ACS_PCT_VET_POV_18_64_countylevel","2. economic context",25.1779557335113
"ACS_PCT_VET_UNEMPL_18_64_countylevel","2. economic context",0.00278055833611389
"ACS_PCT_VIETNAM_countylevel","1. social context",0.00278055833611389
"ACS_PCT_WALK_2WORK_countylevel","4. physical infrastructure",0.00278055833611389
"ACS_PCT_WHITE_countylevel","1. social context",0.00278055833611389
"ACS_PCT_WHITE_COMB_countylevel","1. social context",0.00278055833611389
"ACS_PCT_WHITE_FEMALE_countylevel","1. social context",0.00278055833611389
"ACS_PCT_WHITE_MALE_countylevel","1. social context",0.00278055833611389
"ACS_PCT_WHITE_NONHISP_countylevel","1. social context",0.00278055833611389
"ACS_PCT_WHOLESALE_countylevel","2. economic context",0.00278055833611389
"ACS_PCT_WIDOWED_F_countylevel","1. social context",0.00278055833611389
"ACS_PCT_WIDOWED_M_countylevel","1. social context",0.00278055833611389
"ACS_PCT_WORK_NO_CAR_countylevel","4. physical infrastructure",0.00278055833611389
"ACS_PCT_WORK_RES_F_countylevel","2. economic context",0.00278055833611389
"ACS_PCT_WORK_RES_M_countylevel","2. economic context",0.00278055833611389
"ACS_PER_CAPITA_INC_countylevel","2. economic context",0.00278055833611389
"ACS_TOT_CIVIL_EMPLOY_POP_countylevel","2. economic context",0.00278055833611389
"ACS_TOT_CIVIL_NONINST_POP_countylevel","1. social context",25.1779557335113
"ACS_TOT_CIVIL_NONINST_POP_POV_countylevel","2. economic context",25.1779557335113
"ACS_TOT_CIVIL_POP_ABOVE18_countylevel","1. social context",0.00278055833611389
"ACS_TOT_CIVIL_POP_POV_countylevel","2. economic context",25.1779557335113
"ACS_TOT_CIVIL_VET_POP_countylevel","1. social context",0.00278055833611389
"ACS_TOT_CIVIL_VET_POP_ABOVE25_countylevel","1. social context",0.00278055833611389
"ACS_TOT_GRANDCHILDREN_GP_countylevel","1. social context",0.00278055833611389
"ACS_TOT_HH_countylevel","1. social context",0.00278055833611389
"ACS_TOT_HU_countylevel","4. physical infrastructure",0.00278055833611389
"ACS_TOT_OWN_CHILD_BELOW17_countylevel","1. social context",0.00278055833611389
"ACS_TOT_POP_16_19_countylevel","1. social context",0.00278055833611389
"ACS_TOT_POP_ABOVE15_countylevel","1. social context",0.00278055833611389
"ACS_TOT_POP_ABOVE16_countylevel","1. social context",0.00278055833611389
"ACS_TOT_POP_ABOVE25_countylevel","1. social context",0.00278055833611389
"ACS_TOT_POP_ABOVE5_countylevel","1. social context",0.00278055833611389
"ACS_TOT_POP_POV_countylevel","2. economic context",0.00278055833611389
"ACS_TOT_POP_US_ABOVE1_countylevel","1. social context",0.00834167500834168
"ACS_TOT_POP_WT_countylevel","1. social context",0.00278055833611389
"ACS_TOT_CIVILIAN_LABOR_countylevel","2. economic context",0.00278055833611389
"ACS_TOT_WORKER_HH_countylevel","2. economic context",0.00278055833611389
"ACS_TOT_WORKER_NWFH_countylevel","2. economic context",0.00278055833611389
"AHA_HHI_SHRTTRM_ACUTE_ADMSN_CBSA_countylevel","5. healthcare context",59.4789233678122
"AHA_HHI_SHRTTRM_ACUTE_ADMSN_CTY_countylevel","5. healthcare context",58.2165498832166
"AHA_HHI_SHRTTRM_ACUTE_DSCHR_CBSA_countylevel","5. healthcare context",59.4789233678122
"AHA_HHI_SHRTTRM_ACUTE_DSCHR_CTY_countylevel","5. healthcare context",58.2499165832499
"AHA_HHI_SHRTTRM_ACUTE_LOS_CBSA_countylevel","5. healthcare context",59.4789233678122
"AHA_HHI_SHRTTRM_ACUTE_LOS_CTY_countylevel","5. healthcare context",58.2165498832166
"AHRF_ADV_NURSES_RATE_countylevel","5. healthcare context",0.00556111667222778
"AHRF_ALLERGY_IMM_RATE_countylevel","5. healthcare context",0.00278055833611389
"AHRF_ANESTH_RATE_countylevel","5. healthcare context",0.00278055833611389
"AHRF_ARBRNE_STNGLT_ISO_ROOM_RATE_countylevel","5. healthcare context",0.00278055833611389
"AHRF_ARBRNE_ST_G_ISO_HOSPS_RATE_countylevel","5. healthcare context",10.2991880769659
"AHRF_ARBRNE_ST_G_ISO_ROOMS_RATE_countylevel","5. healthcare context",0.00278055833611389
"AHRF_CARDIAC_IC_BEDS_RATE_countylevel","5. healthcare context",10.2991880769659
"AHRF_CARDIAC_IC_HOSP_RATE_countylevel","5. healthcare context",10.2991880769659
"AHRF_CARDIOVAS_SPEC_RATE_countylevel","5. healthcare context",0.00278055833611389
"AHRF_CHLD_PSYCH_RATE_countylevel","5. healthcare context",0.00278055833611389
"AHRF_CLIN_NURSE_SPEC_RATE_countylevel","5. healthcare context",0.00556111667222778
"AHRF_COLON_SRG_RATE_countylevel","5. healthcare context",0.00278055833611389
"AHRF_COM_HEALTH_GRANT_RATE_countylevel","5. healthcare context",35.7635413190969
"AHRF_DAYS_AIR_QLT_countylevel","4. physical infrastructure",34.4622400177956
"AHRF_DENTISTS_RATE_countylevel","5. healthcare context",0.00556111667222778
"AHRF_DERMATOLOGY_RATE_countylevel","5. healthcare context",0.00278055833611389
"AHRF_DUAL_ELIG_countylevel","5. healthcare context",64.2503614725837
"AHRF_ECO_DEP_USDA_countylevel","2. economic context",89.7035924813703
"AHRF_ER_MED_RATE_countylevel","5. healthcare context",0.00278055833611389
"AHRF_FARM_DEP_USDA_countylevel","2. economic context",89.7035924813703
"AHRF_GASTROENTEROLOGY_RATE_countylevel","5. healthcare context",0.00278055833611389
"AHRF_GENRL_SURG_RATE_countylevel","5. healthcare context",0.00278055833611389
"AHRF_GEN_INTERNAL_MED_RATE_countylevel","5. healthcare context",0.00278055833611389
"AHRF_GEN_PREV_RATE_countylevel","5. healthcare context",0.00278055833611389
"AHRF_GOV_DEP_USDA_countylevel","2. economic context",89.7035924813703
"AHRF_HIGH_POV_USDA_countylevel","2. economic context",89.6563229896563
"AHRF_HOSPS_RATE_countylevel","5. healthcare context",0.00278055833611389
